Country,latitude,longitude,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_millin,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index
Trinidad and Tobago,10.6918,-61.2225,6475,25,54.143,115,0,0.429,4626.682,17.864,38.688,82.173,0,0.306,,,,,,,,,,36092,58,25.789,0.041,160,0.114,0.338,3,65.74
Tunisia,33.886917,9.537499,89196,485,1170.429,2862,41,66.571,7547.075,41.037,99.033,242.16,3.469,5.633,,,,,,,,,,,,,,,,,,62.96
Turkey,38.9637,35.2433,453535,6713,5134.429,12511,153,130,5377.52,79.595,60.878,148.342,1.814,1.541,,,,,,,,,,17406742,161125,206.39,1.91,156965,1.861,0.033,30.6,62.5
Uganda,1.373333,32.290275,18165,197,272.571,181,9,4.429,397.127,4.307,5.959,3.957,0.197,0.097,,,,,,,,,,613908,,13.421,,2762,0.06,0.099,10.1,45.37
Ukraine,48.3794,31.1656,653442,11227,13123,11423,131,203,14941.364,256.712,300.066,261.194,2.995,4.642,,,,,,,,,,4243600,,97.033,,40904,0.935,0.321,3.1,61.57
United Arab Emirates,23.424076,53.847818,160055,1065,1214.429,554,2,2.857,16182.864,107.68,122.789,56.014,0.202,0.289,,,,,,,,,,15860093,81558,1603.585,8.246,113790,11.505,0.011,93.7,45.37
United Kingdom,55,-3,1531267,15465,19566.857,55327,207,441,22556.446,227.808,288.231,814.999,3.049,6.496,,1487,21.904,16626,244.911,,,,,36020801,185317,530.607,2.73,299200,4.407,0.065,15.3,63.89
United Republic of Tanzania,-6.369028,34.888822,509,0,0,21,0,0,8.521,0,0,0.352,0,0,,,,,,,,,,,,,,,,,,13.89
United States of America,40,-100,12418378,171515,172436.714,257782,913,1536,37517.458,518.168,520.953,778.791,2.758,4.64,,16915,51.102,85870,259.424,,,,,184661078,1441706,557.884,4.356,1703410,5.146,,,75.46
Uruguay,-32.5228,-55.7658,4763,64,94.143,71,0,0.571,1371.15,18.424,27.101,20.439,0,0.165,,,,,,,,,,401497,2131,115.581,0.613,4038,1.162,0.023,42.9,43.52
Uzbekistan,41.377491,64.585262,71774,157,199,604,1,0.857,2144.479,4.691,5.946,18.046,0.03,0.026,,,,,,,,,,,,,,,,,,39.81
Venezuela,6.4238,-66.5897,100143,308,343.429,873,2,2.571,3521.705,10.831,12.077,30.701,0.07,0.09,,,,,,,,,,,,,,,,,,87.96
Vietnam,14.058324,108.277199,1312,5,4.143,35,0,0,13.479,0.051,0.043,0.36,0,0,,,,,,,,,,,,,,,,,,43.06
Western Sahara,24.2155,-12.8858,10,0,0,1,0,0,16.741,0,0,1.674,0,0,,,,,,,,,,,,,,,,,,
Yemen,15.552727,48.516388,2107,8,4.143,609,1,0.571,70.643,0.268,0.139,20.418,0.034,0.019,,,,,,,,,,,,,,,,,,24.07
Zambia,-13.133897,27.849332,17454,30,38.143,357,0,0.571,949.415,1.632,2.075,19.419,0,0.031,,,,,,,,,,369960,2991,20.124,0.163,5276,0.287,0.007,138.3,45.37
Zimbabwe,-19.015438,29.154857,9308,88,58.714,273,5,2.286,626.256,5.921,3.95,18.368,0.336,0.154,,,,,,,,,,160853,555,10.822,0.037,965,0.065,0.061,16.4,69.44
